"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"구로구","2017-09-25 05:00","0.005","0.5","0.023","0.013","42","25",126.887369,37.4954031
"구로구","2017-09-24 13:00","0.006","0.6","0.053","0.009","71","43",126.887369,37.4954031
"구로구","2017-09-24 14:00","0.006","0.6","0.063","0.008","79","54",126.887369,37.4954031
"구로구","2017-09-25 04:00","0.005","0.5","0.018","0.017","47","37",126.887369,37.4954031
"구로구","2017-09-25 10:00","0.005","0.6","0.015","0.028","49","32",126.887369,37.4954031
"구로구","2017-09-25 03:00","0.005","0.5","0.024","0.013","50","35",126.887369,37.4954031
"구로구","2017-09-24 11:00","0.005","0.6","0.019","0.022","72","37",126.887369,37.4954031
"구로구","2017-09-24 12:00","0.006","0.6","0.035","0.016","65","39",126.887369,37.4954031
"구로구","2017-09-24 21:00","0.005","0.5","0.043","0.010","59","55",126.887369,37.4954031
"구로구","2017-09-25 02:00","0.005","0.6","0.023","0.017","51","36",126.887369,37.4954031
"구로구","2017-09-24 15:00","0.007","0.6","0.063","0.009","80","54",126.887369,37.4954031
"구로구","2017-09-24 22:00","0.005","0.5","0.038","0.011","53","38",126.887369,37.4954031
"구로구","2017-09-24 19:00","0.005","0.6","0.052","0.014","69","59",126.887369,37.4954031
"구로구","2017-09-24 16:00","0.006","0.6","0.061","0.009","73","55",126.887369,37.4954031
"구로구","2017-09-25 07:00","0.005","0.6","0.004","0.030","42","28",126.887369,37.4954031
"구로구","2017-09-24 17:00","0.005","0.6","0.059","0.010","78","56",126.887369,37.4954031
"구로구","2017-09-24 20:00","0.005","0.6","0.051","0.011","61","58",126.887369,37.4954031
"구로구","2017-09-25 09:00","0.005","0.6","0.010","0.027","49","24",126.887369,37.4954031
"구로구","2017-09-25 06:00","0.005","0.6","0.009","0.027","40","23",126.887369,37.4954031
"구로구","2017-09-24 24:00","0.005","0.5","0.027","0.019","45","32",126.887369,37.4954031
"구로구","2017-09-24 18:00","0.005","0.6","0.057","0.010","66","62",126.887369,37.4954031
"구로구","2017-09-24 23:00","0.005","0.5","0.035","0.012","42","26",126.887369,37.4954031
"구로구","2017-09-25 01:00","0.005","0.5","0.028","0.016","45","32",126.887369,37.4954031
"구로구","2017-09-25 08:00","0.005","0.6","0.006","0.029","45","30",126.887369,37.4954031
"금천구","2017-09-25 03:00","0.002","0.6","0.019","0.024","39","34",126.9020358,37.4518527
"금천구","2017-09-25 10:00","0.004","0.7","0.015","0.048","47","34",126.9020358,37.4518527
"금천구","2017-09-24 13:00","0.004","0.5","0.064","0.019","58","46",126.9020358,37.4518527
"금천구","2017-09-25 02:00","0.003","0.5","0.030","0.019","37","31",126.9020358,37.4518527
"금천구","2017-09-24 15:00","0.004","0.6","0.080","0.015","60","51",126.9020358,37.4518527
"금천구","2017-09-25 04:00","0.003","0.5","0.019","0.022","41","33",126.9020358,37.4518527
"금천구","2017-09-24 12:00","0.003","0.5","0.053","0.020","52","40",126.9020358,37.4518527
"금천구","2017-09-24 21:00","0.003","0.5","0.055","0.019","52","44",126.9020358,37.4518527
"금천구","2017-09-25 07:00","0.003","0.6","0.002","0.042","37","28",126.9020358,37.4518527
"금천구","2017-09-24 14:00","0.004","0.6","0.075","0.017","59","48",126.9020358,37.4518527
"금천구","2017-09-24 20:00","0.003","0.6","0.055","0.027","56","49",126.9020358,37.4518527
"금천구","2017-09-25 01:00","0.003","0.5","0.042","0.017","34","28",126.9020358,37.4518527
"금천구","2017-09-24 19:00","0.003","0.6","0.058","0.028","58","48",126.9020358,37.4518527
"금천구","2017-09-25 05:00","0.003","0.5","0.018","0.022","36","27",126.9020358,37.4518527
"금천구","2017-09-24 22:00","0.003","0.5","0.049","0.017","42","31",126.9020358,37.4518527
"금천구","2017-09-24 23:00","0.003","0.5","0.042","0.017","33","25",126.9020358,37.4518527
"금천구","2017-09-25 06:00","0.003","0.6","0.007","0.034","34","26",126.9020358,37.4518527
"금천구","2017-09-24 24:00","0.003","0.5","0.029","0.023","34","26",126.9020358,37.4518527
"금천구","2017-09-24 11:00","0.003","0.6","0.043","0.022","52","37",126.9020358,37.4518527
"금천구","2017-09-25 08:00","0.003","0.7","0.003","0.043","38","30",126.9020358,37.4518527
"금천구","2017-09-24 18:00","0.004","0.6","0.066","0.023","60","49",126.9020358,37.4518527
"금천구","2017-09-25 09:00","0.004","0.8","0.005","0.050","45","35",126.9020358,37.4518527
"금천구","2017-09-24 16:00","0.005","0.6","0.078","0.016","56","48",126.9020358,37.4518527
"금천구","2017-09-24 17:00","0.005","0.6","0.072","0.021","60","51",126.9020358,37.4518527
"노원구","2017-09-24 14:00","0.002","0.6","0.071","0.026","70","45",127.056793,37.6541917
"노원구","2017-09-24 19:00","0.002","0.6","0.083","0.017","75","54",127.056793,37.6541917
